ID,slug,title,wordpress_url,nextjs_path,redirect_needed
11206,coffee-shop-seo-how-local-businesses-can-brew-better-search-rankings,"Coffee Shop SEO: How Local Businesses Can Brew Better Search Rankings",/coffee-shop-seo-how-local-businesses-can-brew-better-search-rankings/,/stream/coffee-shop-seo,YES
11189,from-chaos-to-symphony-when-ai-cognitive-overload-led-to-multi-persona-breakthrough,"From Chaos to Symphony: When AI Cognitive Overload Led to Multi-Persona Breakthrough",/from-chaos-to-symphony-when-ai-cognitive-overload-led-to-multi-persona-breakthrough/,/stream/from-chaos-to-symphony,YES
11129,cursor-claude-and-chaos-building-a-mautic-data-enrichment-tool-with-ai,"Cursor, Claude, and Chaos: Building a Mautic Data Enrichment Tool with AI",/cursor-claude-and-chaos-building-a-mautic-data-enrichment-tool-with-ai/,/stream/cursor-claude-chaos,YES
11097,building-a-brain-not-just-another-marketing-tool,"Building a Brain (Not Just Another Marketing Tool)",/building-a-brain-not-just-another-marketing-tool/,/stream/building-a-brain,YES
11088,beyond-the-blueprint-how-multiple-ais-and-one-vision-drove-our-marketing-automation-success,"Beyond the Blueprint: How Multiple AIs and One Vision Drove Our Marketing Automation Success",/beyond-the-blueprint-how-multiple-ais-and-one-vision-drove-our-marketing-automation-success/,/stream/beyond-the-blueprint,YES
11074,orchestrating-the-ai-ensemble-a-five-movement-technical-symphony-of-multi-llm-collaboration,"Orchestrating the AI Ensemble: A Five-Movement Technical Symphony",/orchestrating-the-ai-ensemble-a-five-movement-technical-symphony-of-multi-llm-collaboration/,/stream/orchestrating-ai-ensemble,YES
11066,the-symphony-of-ai-powered-marketing-automation-gemini-chats-vision-unveiled,"The Symphony of AI-Powered Marketing Automation: Gemini-Chat's Vision Unveiled",/the-symphony-of-ai-powered-marketing-automation-gemini-chats-vision-unveiled/,/stream/symphony-ai-marketing,YES
10988,from-sketches-to-systems-four-months-of-transformative-marketing-automation,"From Sketches to Systems: Four Months of Transformative Marketing Automation",/from-sketches-to-systems-four-months-of-transformative-marketing-automation/,/stream/from-sketches-to-systems,YES
10923,context-anchoring-in-ai-troubleshooting-a-real-world-problem-in-workflow-efficiency,"Context Anchoring in AI Troubleshooting: A Real-World Problem in Workflow Efficiency",/context-anchoring-in-ai-troubleshooting-a-real-world-problem-in-workflow-efficiency/,/stream/context-anchoring-ai,YES
10903,ai-for-meeting-analysis-task-management,"Kickstart Your Productivity: How We're Transforming Meeting Management with AI Today",/ai-for-meeting-analysis-task-management/,/stream/ai-meeting-analysis,YES
10878,why-your-company-needs-a-brain-building-an-ai-powered-knowledge-engine,"Why Your Company Needs a Brain: Building an AI-Powered Knowledge Engine",/why-your-company-needs-a-brain-building-an-ai-powered-knowledge-engine/,/stream/company-needs-brain,YES
10849,technical-debt-in-the-age-of-ai-a-journey-from-rigid-systems-to-living-knowledge,"Technical Debt in the Age of AI: A Journey from Rigid Systems to Living Knowledge",/technical-debt-in-the-age-of-ai-a-journey-from-rigid-systems-to-living-knowledge/,/stream/technical-debt-ai,YES
9336,from-manual-drudgery-to-ai-driven-efficiency-a-journey-in-data-integration,"From Manual Drudgery to AI-Driven Efficiency: A Journey in Data Integration",/from-manual-drudgery-to-ai-driven-efficiency-a-journey-in-data-integration/,/stream/manual-to-ai-efficiency,YES
8805,revolutionizing-digital-marketing-the-power-of-ai-in-seo,"Revolutionizing Digital Marketing: The Power of AI in SEO",/revolutionizing-digital-marketing-the-power-of-ai-in-seo/,/stream/revolutionizing-digital-marketing,YES
